,COMPNOS,INCIDENT_TYPE_DESCRIPTION,FROMDATE,Year,Month,DAY_WEEK,STREETNAME,Location
84,120422505.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 04:00:00 PM,2012,7,Sunday,FRANKLIN ST,"(42.35631634, -71.05431456)"
85,120419882.0,SIMPLE ASSAULT,07/08/2012 04:09:00 PM,2012,7,Sunday,WARREN ST,"(42.34938895, -71.14242987)"
86,120419887.0,ROBBERY,07/08/2012 04:13:00 PM,2012,7,Sunday,FULLER ST,"(42.28245637, -71.06981457)"
87,120419871.0,InvProp,07/08/2012 04:20:00 PM,2012,7,Sunday,8TH ST,"(42.37474134, -71.05271456)"
88,120419924.0,AGGRAVATED ASSAULT,07/08/2012 04:20:00 PM,2012,7,Sunday,W BROADWAY,"(42.33614915, -71.0467171)"
89,120419923.0,Harbor,07/08/2012 04:24:00 PM,2012,7,Sunday,BOSTON HARBOR - A1,"(0.0, 0.0)"
90,120419858.0,MVAcc,07/08/2012 04:25:00 PM,2012,7,Sunday,SOUTH ST,"(42.30265136, -71.11452455)"
91,120421187.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 04:30:00 PM,2012,7,Sunday,FRANKLIN ST,"(42.35631634, -71.05431456)"
92,120421728.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 04:30:00 PM,2012,7,Sunday,NEWBURY ST,"(42.34805135, -71.08813956)"
93,120419954.0,ROBBERY,07/08/2012 04:36:00 PM,2012,7,Sunday,SHAWMUT AV,"(42.33326635, -71.08299956)"
94,120419998.0,Argue,07/08/2012 04:50:00 PM,2012,7,Sunday,CHARLES ST,"(42.29989136, -71.06425457)"
95,120420016.0,MVAcc,07/08/2012 04:55:00 PM,2012,7,Sunday,MASSACHUSETTS AV,"(42.33730135, -71.07805956)"
96,120420073.0,OTHER LARCENY,07/08/2012 05:00:00 PM,2012,7,Sunday,WIGET ST,"(42.36396134, -71.05597956)"
97,120428450.0,SIMPLE ASSAULT,07/08/2012 05:00:00 PM,2012,7,Sunday,WEAVER CT,"(42.32144135, -71.09680955)"
98,120420492.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 05:00:00 PM,2012,7,Sunday,PEARL ST,"(42.35485134, -71.05367956)"
99,120421071.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 05:00:00 PM,2012,7,Sunday,ATLANTIC AV,"(42.35876135, -71.05157957)"
100,120422038.0,VANDALISM,07/08/2012 05:00:00 PM,2012,7,Sunday,BEACON ST,"(42.35274635, -71.08240456)"
101,120427111.0,VANDALISM,07/08/2012 05:00:00 PM,2012,7,Sunday,WINTHROP ST,"(42.32422656, -71.07757817)"
102,120421090.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 05:00:00 PM,2012,7,Sunday,BRAINARD ST,"(42.34653635, -71.13511954)"
103,120422675.0,VANDALISM,07/08/2012 05:15:00 PM,2012,7,Sunday,BACK ST,"(0.0, 0.0)"
104,120420052.0,MedAssist,07/08/2012 05:30:00 PM,2012,7,Sunday,RAINSFORD ISLAND,"(0.0, 0.0)"
105,120421637.0,AUTO THEFT,07/08/2012 05:30:00 PM,2012,7,Sunday,MT HOPE ST,"(42.28391136, -71.11729954)"
106,120420088.0,Restrain,07/08/2012 05:51:00 PM,2012,7,Sunday,WAVERLY ST,"(42.32036878, -71.07903005)"
107,120420090.0,Ballist,07/08/2012 05:54:00 PM,2012,7,Sunday,HANCOCK ST,"(42.31318697, -71.06500696)"
108,120420093.0,InvPer,07/08/2012 05:54:00 PM,2012,7,Sunday,WOODLEDGE ST,"(42.31468801, -71.07451322)"
109,120420105.0,AGGRAVATED ASSAULT,07/08/2012 05:56:00 PM,2012,7,Sunday,LANGDON ST,"(42.32542135, -71.06966956)"
110,120423447.0,AUTO THEFT,07/08/2012 06:00:00 PM,2012,7,Sunday,ANTWERP ST,"(42.35823135, -71.14064953)"
111,120427395.0,VANDALISM,07/08/2012 06:00:00 PM,2012,7,Sunday,BEACON ST,"(42.35129635, -71.08780955)"
112,120420345.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 06:00:00 PM,2012,7,Sunday,FRANCLAIRE DR,"(42.27459636, -71.14841453)"
113,120420085.0,FIRE,07/08/2012 06:02:00 PM,2012,7,Sunday,MCDONOUGH WY,"(42.32787135, -71.05306457)"
114,120420187.0,MedAssist,07/08/2012 06:15:00 PM,2012,7,Sunday,SUDBURY ST,"(42.36164815, -71.05998657)"
115,120420138.0,DRUG CHARGES,07/08/2012 06:17:00 PM,2012,7,Sunday,HAMILTON ST,"(42.30875952, -71.07048212)"
116,120420165.0,OTHER LARCENY,07/08/2012 06:19:00 PM,2012,7,Sunday,TREMONT ST,"(42.35535484, -71.06310606)"
117,120420164.0,Argue,07/08/2012 06:32:00 PM,2012,7,Sunday,DRAPER ST,"(42.30285135, -71.06400956)"
118,120420183.0,Gather,07/08/2012 06:40:00 PM,2012,7,Sunday,METROPOLITAN AV,"(42.26845224, -71.11940924)"
119,120420192.0,SIMPLE ASSAULT,07/08/2012 06:44:00 PM,2012,7,Sunday,BROOKWAY TR,"(42.2925326, -71.11971445)"
120,120420324.0,OTHER LARCENY,07/08/2012 06:48:00 PM,2012,7,Sunday,LIVERPOOL ST,"(42.37347634, -71.03988957)"
121,120420205.0,MVAcc,07/08/2012 06:56:00 PM,2012,7,Sunday,WALDEN ST,"(42.32474135, -71.10424455)"
122,120420207.0,MedAssist,07/08/2012 06:56:00 PM,2012,7,Sunday,SOUTH ST,"(42.29356136, -71.12281955)"
123,120422568.0,Service,07/08/2012 06:59:00 PM,2012,7,Sunday,WASHINGTON ST,"(42.35647634, -71.05929456)"
124,120420543.0,PersLoc,07/08/2012 07:00:00 PM,2012,7,Sunday,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
125,120421177.0,LARCENY FROM MOTOR VEHICLE,07/08/2012 07:00:00 PM,2012,7,Sunday,SHERWOOD ST,"(42.28385447, -71.12338411)"
126,120420545.0,PersLoc,07/08/2012 07:00:00 PM,2012,7,Sunday,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
127,120421534.0,PropLost,07/08/2012 07:15:00 PM,2012,7,Sunday,BRIGHTON AV,"(42.35285635, -71.13084954)"
128,120421692.0,OTHER LARCENY,07/08/2012 07:15:00 PM,2012,7,Sunday,TREMONT ST,"(42.35346134, -71.06419956)"
129,120422735.0,PersLoc,07/08/2012 07:30:00 PM,2012,7,Sunday,QUINCY ST,"(42.31552135, -71.08062955)"
130,120420291.0,VAL,07/08/2012 07:30:00 PM,2012,7,Sunday,BATTERYMARCH ST,"(42.35773634, -71.05462456)"
131,120420275.0,MedAssist,07/08/2012 07:31:00 PM,2012,7,Sunday,COREY ST,"(42.37875134, -71.05608456)"
132,120420279.0,Argue,07/08/2012 07:37:00 PM,2012,7,Sunday,CENTRE ST,"(42.290772, -71.06967506)"
133,120420282.0,RESIDENTIAL BURGLARY,07/08/2012 07:37:00 PM,2012,7,Sunday,HALLRON ST,"(42.26850953, -71.12883588)"
134,120420287.0,Service,07/08/2012 07:49:00 PM,2012,7,Sunday,PEACEVALE RD,"(42.28714636, -71.07634955)"
135,120420311.0,MedAssist,07/08/2012 07:51:00 PM,2012,7,Sunday,ALMONT ST,"(42.27507636, -71.09515955)"
136,120420273.0,MedAssist,07/08/2012 08:00:00 PM,2012,7,Sunday,ROACH ST,"(42.31076635, -71.05905456)"
137,120421273.0,VANDALISM,07/08/2012 08:00:00 PM,2012,7,Sunday,I ST,"(42.33512635, -71.03993457)"
138,120420339.0,VAL,07/08/2012 08:04:00 PM,2012,7,Sunday,WASHINGTON ST,"(42.3286598, -71.08561842)"
139,120420348.0,InvPer,07/08/2012 08:07:00 PM,2012,7,Sunday,LOGAN WY,"(42.32828549, -71.05530669)"
140,120420364.0,MedAssist,07/08/2012 08:13:00 PM,2012,7,Sunday,BOSTON HARBOR - C6,"(0.0, 0.0)"
141,120420378.0,ROBBERY,07/08/2012 08:20:00 PM,2012,7,Sunday,WARREN ST,"(42.31335135, -71.08361455)"
