ObjectID,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
121,120420205,MVAcc,906,7/8/12 18:56,2012,7,Sunday,763188.1199,2943612.382,WALDEN ST,"(42.32474135, -71.10424455)"
122,120420207,MedAssist,564,7/8/12 18:56,2012,7,Sunday,758215.2899,2932227.109,SOUTH ST,"(42.29356136, -71.12281955)"
123,120422568,Service,104,7/8/12 18:59,2012,7,Sunday,775283.783,2955236.785,WASHINGTON ST,"(42.35647634, -71.05929456)"
124,120420543,PersLoc,911,7/8/12 19:00,2012,7,Sunday,766266.9936,2947557.934,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
125,120421177,LARCENY FROM MOTOR VEHICLE,561,7/8/12 19:00,2012,7,Sunday,758078.1629,2928689.098,SHERWOOD ST,"(42.28385447, -71.12338411)"
126,120420545,PersLoc,911,7/8/12 19:00,2012,7,Sunday,766266.9936,2947557.934,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
127,120421534,PropLost,796,7/8/12 19:15,2012,7,Sunday,755949.2183,2953825.769,BRIGHTON AV,"(42.35285635, -71.13084954)"
128,120421692,OTHER LARCENY,111,7/8/12 19:15,2012,7,Sunday,773963.6495,2954131.25,TREMONT ST,"(42.35346134, -71.06419956)"
129,120422735,PersLoc,323,7/8/12 19:30,2012,7,Sunday,769590.632,2940282.974,QUINCY ST,"(42.31552135, -71.08062955)"
130,120420291,VAL,100,7/8/12 19:30,2012,7,Sunday,776543.6161,2955702.51,BATTERYMARCH ST,"(42.35773634, -71.05462456)"
131,120420275,MedAssist,900,7/8/12 19:31,2012,7,Sunday,776109.1511,2963358.74,COREY ST,"(42.37875134, -71.05608456)"
132,120420279,Argue,362,7/8/12 19:37,2012,7,Sunday,772598.8888,2931278.689,CENTRE ST,"(42.290772, -71.06967506)"
133,120420282,RESIDENTIAL BURGLARY,547,7/8/12 19:37,2012,7,Sunday,756627.2682,2923090.711,HALLRON ST,"(42.26850953, -71.12883588)"
