,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
125,120421177.0,LARCENY FROM MOTOR VEHICLE,561,07/08/2012 07:00:00 PM,2012,7,Sunday,758078.1629,2928689.098,SHERWOOD ST,"(42.28385447, -71.12338411)"
126,120420545.0,PersLoc,911,07/08/2012 07:00:00 PM,2012,7,Sunday,766266.9936,2947557.934,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
127,120421534.0,PropLost,796,07/08/2012 07:15:00 PM,2012,7,Sunday,755949.2183,2953825.769,BRIGHTON AV,"(42.35285635, -71.13084954)"
128,120421692.0,OTHER LARCENY,111,07/08/2012 07:15:00 PM,2012,7,Sunday,773963.6495,2954131.25,TREMONT ST,"(42.35346134, -71.06419956)"
129,120422735.0,PersLoc,323,07/08/2012 07:30:00 PM,2012,7,Sunday,769590.632,2940282.974,QUINCY ST,"(42.31552135, -71.08062955)"
130,120420291.0,VAL,100,07/08/2012 07:30:00 PM,2012,7,Sunday,776543.6161,2955702.51,BATTERYMARCH ST,"(42.35773634, -71.05462456)"
131,120420275.0,MedAssist,900,07/08/2012 07:31:00 PM,2012,7,Sunday,776109.1511,2963358.74,COREY ST,"(42.37875134, -71.05608456)"
132,120420279.0,Argue,362,07/08/2012 07:37:00 PM,2012,7,Sunday,772598.8888,2931278.689,CENTRE ST,"(42.290772, -71.06967506)"
133,120420282.0,RESIDENTIAL BURGLARY,547,07/08/2012 07:37:00 PM,2012,7,Sunday,756627.2682,2923090.711,HALLRON ST,"(42.26850953, -71.12883588)"
134,120420287.0,Service,435,07/08/2012 07:49:00 PM,2012,7,Sunday,770799.5613,2929948.413,PEACEVALE RD,"(42.28714636, -71.07634955)"
135,120420311.0,MedAssist,472,07/08/2012 07:51:00 PM,2012,7,Sunday,765730.7982,2925525.216,ALMONT ST,"(42.27507636, -71.09515955)"
136,120420273.0,MedAssist,255,07/08/2012 08:00:00 PM,2012,7,Sunday,775434.7647,2938579.604,ROACH ST,"(42.31076635, -71.05905456)"
137,120421273.0,VANDALISM,226,07/08/2012 08:00:00 PM,2012,7,Sunday,780558.4608,2947484.0939999996,I ST,"(42.33512635, -71.03993457)"
138,120420339.0,VAL,0,07/08/2012 08:04:00 PM,2012,7,Sunday,768218.0809,2945064.255,WASHINGTON ST,"(42.3286598, -71.08561842)"
